caseid,bundle,value,airline,connect,price,inc
35,8,50,Spirit,None,$450,37
35,9,0,Spirit,One,$600,37
36,1,100,SW,None,$300,42
36,2,65,SW,One,$450,42
36,3,30,SW,None,$600,42
36,4,80,Delta,One,$300,42
36,5,60,Delta,None,$450,42
36,6,10,Delta,None,$600,42
36,7,90,Spirit,None,$300,42
36,8,50,Spirit,None,$450,42
36,9,0,Spirit,One,$600,42
37,1,100,SW,None,$300,93
37,2,38,SW,One,$450,93
37,3,21,SW,None,$600,93
37,4,100,Delta,One,$300,93
37,5,100,Delta,None,$450,93
37,6,27,Delta,None,$600,93
37,7,42,Spirit,None,$300,93
37,8,30,Spirit,None,$450,93
37,9,13,Spirit,One,$600,93
38,1,85,SW,None,$300,115
38,2,73,SW,One,$450,115
38,3,30,SW,None,$600,115
38,4,100,Delta,One,$300,115
38,5,75,Delta,None,$450,115
38,6,15,Delta,None,$600,115
38,7,80,Spirit,None,$300,115
38,8,70,Spirit,None,$450,115
38,9,0,Spirit,One,$600,115
39,1,90,SW,None,$300,58
39,2,85,SW,One,$450,58
39,3,60,SW,None,$600,58
39,4,100,Delta,One,$300,58
39,5,100,Delta,None,$450,58
39,6,65,Delta,None,$600,58
39,7,100,Spirit,None,$300,58
39,8,30,Spirit,None,$450,58
39,9,20,Spirit,One,$600,58
40,1,100,SW,None,$300,51
40,2,78,SW,One,$450,51
40,3,19,SW,None,$600,51
40,4,80,Delta,One,$300,51
40,5,100,Delta,None,$450,51
40,6,24,Delta,None,$600,51
40,7,91,Spirit,None,$300,51
40,8,59,Spirit,None,$450,51
40,9,0,Spirit,One,$600,51
