frequency,usertype,spend,eatin,clean,variety,quality,location,speed,healthy,price,friendly,hours,type,live,mealplan,gender,class,college,bclean,bvariety,bquality,blocation,bspeed,bhealthy,bprice,bfriendly,bhours,id
1 to 2 times,Light user,$5 to $9,4,4,4,5,3,3,5,3,3,3,Sandwiches,Off-Campus,No,Female,Senior,OTH,1,1,1,0,0,1,0,0,0,555
1 to 2 times,Light user,$10 or more,4,5,4,5,4,4,5,5,5,3,Chicken,On-Campus,Yes,Male,Sophomore,OTH,1,1,1,1,1,1,1,1,0,556
0 times,Non-user,$10 or more,6,4,4,5,4,3,2,4,2,2,Burgers,Off-Campus,No,Male,Freshman,ARTSC,1,1,1,1,0,0,1,0,0,557
1 to 2 times,Light user,$5 to $9,4,4,3,3,3,3,3,4,3,2,Burgers,Off-Campus,No,Male,Senior,OTH,1,0,0,0,0,0,1,0,0,558
3 to 5 times,Heavy User,$5 to $9,6,4,3,3,4,5,4,4,5,5,Other,Off-Campus,No,Female,Senior,BUSN,1,0,0,1,1,1,1,1,1,559
0 times,Non-user,Less than $5,6,5,3,2,4,5,3,5,4,3,Burgers,On-Campus,Yes,Female,Sophomore,BUSN,1,0,0,1,1,0,1,1,0,560
1 to 2 times,Light user,$5 to $9,6,4,5,4,3,3,5,4,4,4,Mexican,Off-Campus,No,Male,Junior,BUSN,1,1,1,0,0,1,1,1,1,561
1 to 2 times,Light user,$5 to $9,5,2,4,4,3,5,2,3,3,4,Sandwiches,Off-Campus,No,Male,Senior,BUSN,0,1,1,0,1,0,0,0,1,562
3 to 5 times,Heavy User,$5 to $9,4,3,3,4,3,3,2,2,4,3,Burgers,Commuter,No,Female,Senior,BUSN,0,0,1,0,0,0,0,1,0,563
1 to 2 times,Light user,$5 to $9,2,4,4,5,3,3,3,3,4,3,Chicken,On-Campus,Yes,Female,Freshman,BUSN,1,1,1,0,0,0,0,1,0,564
1 to 2 times,Light user,$5 to $9,4,5,4,5,5,5,3,5,3,2,Chicken,Commuter,No,Female,Freshman,EDUC,1,1,1,1,1,0,1,0,0,565
1 to 2 times,Light user,$5 to $9,2,3,5,4,4,4,1,5,4,4,Chicken,Off-Campus,No,Female,Sophomore,OTH,0,1,1,1,1,0,1,1,1,566
3 to 5 times,Heavy User,$5 to $9,6,4,4,4,5,4,3,4,3,4,Chicken,Off-Campus,No,Female,Senior,OTH,1,1,1,1,1,0,1,0,1,567
3 to 5 times,Heavy User,$5 to $9,1,4,2,3,5,3,3,3,2,1,Burgers,Off-Campus,No,Male,Freshman,EDUC,1,0,0,1,0,0,0,0,0,568
1 to 2 times,Light user,$5 to $9,2,3,4,3,2,4,2,5,3,4,Burgers,Off-Campus,No,Male,Sophomore,OTH,0,1,0,0,1,0,1,0,1,569
1 to 2 times,Light user,$5 to $9,7,5,5,5,5,2,5,5,5,5,Chicken,Off-Campus,No,Female,Freshman,OTH,1,1,1,1,0,1,1,1,1,570
1 to 2 times,Light user,$5 to $9,3,4,3,4,3,4,3,4,3,4,Sandwiches,Off-Campus,No,Male,Junior,BUSN,1,0,1,0,1,0,1,0,1,571
1 to 2 times,Light user,Less than $5,6,4,3,4,4,4,3,5,3,3,Sandwiches,Off-Campus,No,Female,Senior,ARTSC,1,0,1,1,1,0,1,0,0,572
1 to 2 times,Light user,$5 to $9,,4,5,4,5,4,2,3,5,3,Mexican,Off-Campus,No,Female,Junior,EDUC,1,1,1,1,1,0,0,1,0,573
3 to 5 times,Heavy User,$5 to $9,2,5,4,4,3,4,5,5,3,3,Mexican,On-Campus,Yes,Female,Sophomore,ARTSC,1,1,1,0,1,1,1,0,0,574
3 to 5 times,Heavy User,$10 or more,4,3,4,5,5,4,4,4,3,5,Mexican,On-Campus,Yes,Female,Freshman,BUSN,0,1,1,1,1,1,1,0,1,575
0 times,Non-user,Less than $5,2,5,4,4,5,2,3,3,4,2,Chicken,Commuter,No,Female,Junior,ARTSC,1,1,1,1,0,0,0,1,0,576
3 to 5 times,Heavy User,$5 to $9,5,4,4,5,2,4,4,4,3,4,Chicken,Off-Campus,No,Female,Senior,EDUC,1,1,1,0,1,1,1,0,1,577
1 to 2 times,Light user,$5 to $9,7,3,4,3,4,4,1,5,3,4,Burgers,Off-Campus,No,Male,Junior,OTH,0,1,0,1,1,0,1,0,1,578
0 times,Non-user,Less than $5,1,4,3,4,4,4,3,4,3,3,Chicken,On-Campus,Yes,Male,Sophomore,OTH,1,0,1,1,1,0,1,0,0,579
1 to 2 times,Light user,$5 to $9,1,5,3,5,3,3,5,5,4,3,Burgers,Commuter,No,Female,Junior,ARTSC,1,0,1,0,0,1,1,1,0,580
