id,rest,taste,speed,value,variety,clean,conv,healthy,pref
24,Subway,2,5,3,3,5,3,2,3
24,Mr. Spots,3,3,3,4,3,2,4,5
24,Chipotle,5,5,5,3,4,2,4,5
24,Qdoba,5,5,5,3,4,2,4,5
25,Wendy's,4,4,3,3,3,4,3,4
25,Taco Bell,3,3,2,3,3,4,1,1
25,McDonald's,3,4,4,3,2,4,2,3
25,Jimmy John's,3,5,5,3,3,4,4,3
25,Subway,3,3,4,3,3,3,4,2
25,Mr. Spots,3,2,5,3,3,3,3,3
25,Chipotle,5,4,5,4,5,5,4,5
25,Qdoba,3,3,3,3,3,2,4,3
26,Wendy's,3,5,3,4,3,4,2,3
26,Taco Bell,2,5,3,4,3,4,2,2
26,McDonald's,1,5,3,4,3,4,2,2
26,Jimmy John's,4,5,4,2,4,4,3,4
26,Subway,4,5,4,4,4,4,3,5
26,Mr. Spots,3,3,4,3,4,3,2,3
26,Chipotle,3,4,3,3,4,4,3,3
26,Qdoba,3,4,4,3,4,3,2,3
27,Wendy's,5,3,5,5,3,5,3,5
27,Taco Bell,2,2,3,1,2,3,1,3
27,McDonald's,3,3,2,1,4,5,2,2
27,Jimmy John's,5,5,5,4,4,3,5,5
27,Subway,4,3,4,3,4,1,5,4
27,Mr. Spots,2,2,2,2,2,2,3,2
27,Chipotle,5,3,5,5,4,5,5,5
27,Qdoba,2,2,2,2,2,2,2,2
28,Wendy's,5,4,4,5,4,4,3,5
28,Taco Bell,5,5,5,4,3,5,3,5
28,McDonald's,5,5,5,4,4,5,2,5
28,Jimmy John's,5,4,4,5,5,5,3,5
28,Subway,4,4,3,3,4,4,4,4
28,Mr. Spots,3,3,3,3,3,3,3,3
28,Chipotle,5,3,4,2,5,4,5,5
28,Qdoba,3,2,3,4,3,3,3,3
29,Wendy's,5,3,4,4,3,5,3,4
29,Taco Bell,4,3,5,4,3,5,3,4
29,McDonald's,4,2,5,4,2,5,2,3
29,Jimmy John's,4,5,4,3,3,4,4,3
29,Subway,4,3,4,4,3,5,5,3
29,Mr. Spots,5,3,3,4,4,3,2,4
29,Chipotle,5,2,3,4,3,5,3,5
29,Qdoba,3,4,3,4,4,3,4,1
30,Wendy's,5,4,4,5,4,5,3,5
30,Taco Bell,5,5,4,5,2,4,2,5
30,McDonald's,1,4,3,5,4,5,3,1
30,Jimmy John's,3,5,2,4,3,4,3,1
30,Subway,5,5,4,4,4,5,5,3
30,Mr. Spots,3,3,3,3,3,4,2,2
30,Chipotle,5,5,4,4,5,5,5,5
30,Qdoba,4,4,4,4,4,4,5,3
31,Wendy's,4,5,2,4,2,5,2,3
31,Taco Bell,1,3,1,4,2,5,1,1
31,McDonald's,2,3,1,5,3,5,2,1
31,Jimmy John's,5,5,5,5,5,5,5,5
31,Subway,4,4,4,5,4,5,5,4
31,Mr. Spots,3,3,3,3,3,5,3,1
31,Chipotle,5,3,5,4,3,5,5,5
31,Qdoba,1,3,3,3,3,5,3,1
32,Wendy's,3,4,3,4,3,4,2,3
32,Taco Bell,3,4,3,4,3,5,2,2
32,McDonald's,2,3,2,3,3,4,2,1
32,Jimmy John's,3,4,3,4,4,4,4,3
32,Subway,5,3,4,5,4,5,5,5
32,Mr. Spots,3,3,3,3,3,4,3,3
32,Chipotle,5,5,5,4,5,4,5,5
32,Qdoba,4,4,3,4,4,4,4,3
33,Wendy's,4,4,4,5,5,4,3,4
33,Taco Bell,4,4,4,5,5,5,2,4
33,McDonald's,4,4,4,4,5,4,3,4
33,Jimmy John's,4,5,5,5,5,5,4,5
33,Subway,4,3,4,4,5,5,5,4
33,Mr. Spots,3,3,3,3,3,3,3,3
33,Chipotle,5,3,5,5,5,4,4,5
33,Qdoba,4,4,5,5,5,4,3,5
34,Wendy's,3,3,4,4,3,4,2,3
34,Taco Bell,3,2,2,3,3,5,1,2
34,McDonald's,4,1,2,3,4,4,1,2
34,Jimmy John's,5,5,5,4,4,5,5,5
34,Subway,5,4,4,5,4,3,4,5
34,Mr. Spots,5,4,5,5,4,4,3,5
34,Chipotle,5,5,5,5,4,3,4,4
34,Qdoba,3,4,3,3,3,1,4,1
35,Wendy's,4,4,3,3,2,2,3,4
35,Taco Bell,2,4,4,3,1,5,1,1
35,McDonald's,4,4,3,3,2,3,1,2
35,Jimmy John's,2,5,5,3,4,5,3,2
35,Subway,4,3,3,2,3,3,5,3
35,Mr. Spots,3,3,3,3,3,5,1,3
35,Chipotle,5,3,4,2,3,2,4,5
35,Qdoba,3,3,3,2,3,2,4,3
